n;muestra;tratamiento;peso total;clorofila total;SOD pie;SOD tent;CAT pie;CAT tent;GST pie;GST tent;DTD pie;DTD tent;G6PDH pie;G6PDH tent;MDA pie;MDA tent;MDA pie 2;MDA tent 2;proteina pie;proteina tent;TEAC pie;TEAC tent
1;C1;Control;30;101,6816436;117,816354;63,88931001;99,19727287;18,0710434;472,4046549;103,7433223;9,505737714;0,740507958;4,133216557;1,647845245;28,25071633;30,99665712;43,20341048;69,96954933;4,3395;8,694;478,2;260,2
2;C2;Control;20;78,11097561;93,34286607;75,01347021;73,35141926;22,37111782;210,5453168;81,72738689;8,668842506;1,319283004;4,574380591;1,471433554;48,40353391;35,17526266;52,03410475;67,65529842;4,6935;8,4495;459,2;323,2
3;C3;Control;31;119,0088255;105,1130494;72,19351045;55,65268354;32,53887003;407,1213222;52,41295318;12,04553118;1,172549531;2,391395514;1,811238474;33,21728749;31,59360076;24,26309379;49,81120585;5,049;7,6635;449,2;463,2
4;C4;Control;31;98,04890679;134,2482719;59,68494267;79,20937372;24,44758336;424,0405713;51,53889279;12,81858412;1,110738541;4,264337806;2,15240217;59,91260745;32,69197708;28,58708892;56,69305725;4,2285;7,8285;403,2;508,2
5;C5;Control;15;155,9420103;77,91589794;57,76423495;52,25002219;30,68393846;212,4056429;80,98262992;4,417333114;1,234321808;2,143093417;1,820962844;46,56494747;50,93457498;50,14616322;67,38124239;6,4545;7,74;403,2;263,2
11;O1;Oscuro;42;97,65932521;91,75522541;56,90365141;46,8907408;30,94339638;272,2845903;56,89054389;7,436427406;1,428853111;1,699036203;1,254921043;22,61556829;44,48758357;36,01705238;64,67113276;5,79;8,5935;390,2;483,2
12;O2;Oscuro;33;99,90276476;124,7918843;64,61184367;64,91925849;20,06304902;154,331211;56,07955939;10,40420152;0,372000251;2,59605386;1,746936368;43,38920726;36,05873926;40,3410475;35,8952497;4,5285;7,4745;438,2;274,2
13;O3;Oscuro;19;208,9378479;182,6615837;73,59607014;116,6560944;28,03981371;715,1471298;58,75581866;9,988798256;1,680821792;3,806686122;1,077271693;49,57354346;29,30133715;28,0998782;26,18148599;3,1095;6,588;476,2;274,2
14;O4;Oscuro;42;113,0083497;127,7239252;75,12765001;55,36736035;31,21402574;276,4998374;213,2717219;12,89755772;2,071902737;2,628467754;1,681102004;34,64995224;54,42072588;34,03775883;52,21680877;4,782;7,917;383,2;502,2
15;O5;Oscuro;14;136,0655864;89,57873767;89,454251;42,21904367;39,09311853;186,7954911;88,46426044;7,393470088;1,673370693;2,464123751;1,105092128;36,17812798;48,52292264;44,48233861;75,99878197;6,555;6,594;453,2;504,2
21;S1;Salobre;11;87,65884653;98,08474966;61,36978298;58,61104696;20,0200866;301,2438779;64,51333564;8,558573338;1,186377815;2,334610385;1,039512231;40,52387775;49,54966571;53,52618758;39,6406821;5,5695;8,661;338,2;215,2
22;S2;Salobre;32;108,7373614;102,9602198;76,11572125;65,24721642;21,47502007;124,7212932;60,16959721;5,784152274;1,143088736;1,391069553;0,931333808;51,91356256;46,15902579;58,12423873;52,46041413;5,382;7,5735;301,2;269,2
23;S3;Salobre;32;94,72951845;88,10888783;69,56320734;60,06984668;24,96493492;201,5505798;60,82545311;7,69443795;2,007149491;0,932393364;1,079115927;28,10744986;52,94030564;30,53593179;63,66626066;6,7215;7,896;365,2;499,2
24;S4;Salobre;15;114,5214174;72,65357839;64,39623003;51,88393498;28,93254648;210,1720656;74,430511;5,163817555;1,684301036;2,680218707;1,444085299;27,72540592;39,80754537;37,72228989;67,71619976;6,987;8,5725;372,2;473,2
25;S5;Salobre;31;96,15731116;98,01947262;79,94845242;86,42481906;22,66385535;357,6615832;79,05956585;6,896625654;0,875621292;3,676589997;1,832001293;33,71872015;34,76934097;37,05237515;50,78562728;5,8905;8,118;340,2;378,2
31;I1;IMTA;28;97,63498222;117,6129482;74,38320205;110,4663747;27,53106311;362,9924745;66,33884206;9,787022545;0,601140299;2,582471116;1,527951398;33,19340974;39,87917861;39,36662607;43,4774665;4,518;6,999;420,2;490,2
32;I2;IMTA;13;62,87703909;74,83813925;79,53205403;64,31860726;23,37491743;157,4279379;54,06727049;5,901695527;0,899978131;2,59932079;1,97020709;43,34145177;75,93457498;50,48112058;62,14372716;6,765;6,5325;397,2;442,2
33;I3;IMTA;23;103,2022882;66,09280322;63,5686095;51,19216152;35,69333153;231,8738937;100,7129389;3,97386105;1,069440266;2,458497512;2,503506986;27,72540592;47,94985673;41,58952497;61,44336175;8,3175;8,073;366,2;417,2
34;I4;IMTA;15;105,8817032;80,09336458;70,30379941;73,96966393;34,27631828;168,3617256;71,35611463;4,716826789;0,828629173;3,261390755;3,266442041;44,17717287;36,77507163;81,99756395;49,3544458;6,555;7,1745;365,2;423,2
35;I5;IMTA;34;60,90846329;79,50210633;76,44112074;74,09567172;50,05262424;206,2909951;116,0787613;7,249828757;1,727149095;3,088584373;1,700174539;39,80754537;53,05969436;52,12545676;50,9683313;7,0215;5,547;409,2;340,2
