;Comp.1;Comp.2;Comp.3;Comp.4;Comp.5
SOD.col;0,390392072;0,043941119;0,042933489;0,203118511;0,089431914
SOD.tent;-0,062661312;0,194236363;-0,011437074;0,47536048;-0,080288981
CAT.col;0,282552869;0,021375641;-0,311498571;0,294970804;-0,06027782
CAT.tent;-0,215464265;0,356062994;-0,000541494;0,200008715;-0,109877127
GST.col;0,348670009;0,107423792;-0,02148318;0,147377229;-0,112814675
GST.tent;-0,038766224;0,349381401;0,084389932;-0,107040542;0,581161316
DTD.col;0,337180864;0,148161443;0,185993756;-0,077166432;-0,000228435
DTD.tent;-0,080665772;0,248834618;0,439823358;0,164873443;0,231343035
G6PDH.col;0,217608919;0,188866163;-0,376371608;-0,106281001;-0,050284502
G6PDH.tent;-0,102500741;0,14068482;-0,452391431;-0,33536407;-0,140459831
MDA.col;-0,225431058;-0,099872941;-0,417241317;0,019273944;0,314943732
MDA.tent;-0,215512968;0,07042408;0,159302571;-0,375416418;-0,201460268
TEAC.col;0,229543639;0,240101672;-0,07031082;-0,041463141;-0,307717179
TEAC.tent;-0,101546731;0,227107694;0,262332372;-0,161236746;-0,474023238
GPx.col;0,36007886;0,094817908;0,061172198;-0,272792363;0,032430141
GPx.tent;-0,210191504;0,328094913;-0,145113088;0,319194673;-0,155627567
GR.col;0,192697562;0,370021515;-0,047211104;-0,256733371;0,238833145
GR.tent;-0,212222641;0,427141401;-0,137116611;-0,066672991;0,046041606
