;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11
eigenvalue;4,099;2,032;1,625;1,175;0,618;0,527;0,415;0,183;0,171;0,129;0,025
var_per;37,3%;18,5%;14,8%;10,7%;5,6%;4,8%;3,8%;1,7%;1,6%;1,2%;0,2%
% cum;37,3%;55,7%;70,5%;81,2%;86,8%;91,6%;95,4%;97,0%;98,6%;99,8%;100,0%
;;;;;;;;;;;
SOD.pie;0,100;0,357;0,345;-0,514;0,192;0,058;0,631;-0,054;0,094;0,162;0,051
SOD.tent;0,443;-0,128;-0,128;-0,031;0,134;0,160;-0,009;-0,188;0,650;-0,490;0,167
CAT.pie;0,387;-0,152;-0,037;-0,308;-0,292;0,525;-0,052;0,210;-0,245;-0,068;-0,509
CAT.tent;-0,209;0,469;-0,105;-0,421;0,005;-0,278;-0,465;-0,128;0,213;-0,147;-0,414
GST.pie;0,411;0,094;-0,168;-0,159;-0,434;-0,211;-0,196;0,153;0,221;0,564;0,327
GST.tent;-0,153;-0,181;-0,603;-0,334;-0,211;-0,038;0,253;-0,515;-0,254;-0,073;0,158
DTD.pie;0,403;0,175;-0,008;0,329;0,283;0,053;-0,084;-0,618;-0,134;0,359;-0,282
MDA.pie.2;-0,248;-0,390;0,124;-0,372;0,389;0,369;-0,396;-0,116;0,105;0,354;0,197
MDA.tent.2;-0,309;0,113;-0,483;0,226;0,065;0,309;0,276;0,204;0,444;0,328;-0,291
TEAC.pie;0,269;0,193;-0,460;-0,104;0,594;-0,071;-0,071;0,407;-0,326;-0,071;0,171
TEAC.tent;-0,125;0,583;0,006;0,131;-0,198;0,577;-0,187;-0,101;-0,133;-0,132;0,418
